	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
0	Bills	BUF	$ffffff	$ffffff	$0000cc	$0000cc	$ffffff	$ffffff	$ffffff	$0000cc	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$dfdfdf	$ffffff	$ffffff	$ffffff	$0000cc	$0000cc	$ffffff	$0000cc	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	89	$0202d9
1	Dolphins	MIA	$666666	$666666	$ff0033	$666666	$666666	$ff0033	$ff0033	$ffffff	$666666	$666666	$ffffff	$ff0033	$666666	$ff0033	$ffffff	$666666	$666666	$666666	$ff0033	$ffffff	$ff0033	$ffffff	$ff0033	$ff0033	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	59	0	$00b4a4
2	Patriots	N.E	$00cc00	$ffd799	$00cc00	$ffd799	$00cc00	$ffd799	$00cc00	$00cc00	$00cc00	$ffd799	$ffffff	$00cc00	$00cc00	$ffd799	$00cc00	$ffd799	$ffd799	$00c00	$ffd799	$000000	$ffd799	$ffd799	$dfdfdf	$ffd799	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	49	52	$1d2253
3	Jets	NYJ	$006699	$ffff00	$006699	$ffff00	$ffff00	$ffff00	$006699	$ffff00	$006699	$ffff00	$ffff00	$ffff00	$006699	$006699	$006699	$006699	$006699	$ffff00	$ffffff	$ffffff	$ffffff	$006699	$ffffff	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	25	$035826
4	Broncos	DEN	$800000	$800000	$800000	$800000	$800000	$cccccc	$800000	$800000	$cccccc	$800000	$cccccc	$cccccc	$cccccc	$800000	$cccccc	$cccccc	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	17	62	$e66e00
5	Chiefs	K.C	$c8102e	$ffffff	$c8102e	$ffffff	$ffffff	$c8102e	$e6e6e6	$b40e29	$c8102e	$ffffff	$ffffff	$c8102e	$c8102e	$FFFFFF	$e6e6e6	$ffb81c	$c8102e	$ffffff	$ffffff	$c8102e	$ffffff	$c8102e	$e6e6e6	$b40e29	$c8102e	$ffffff	$c8102e	$ffffff	$c8102e	$ffffff	$e6e6e6	$b40e29	0	40	15	$dc0015
6	Chargers	LAC	$ffffff	$ffb81c	$0072ce	$FFB81C	$FFB81C	$ffffff	$ffffff	$0072ce	$ffffff	$ffb81c	$ffffff	$ffb81c	$ffffff	$ffb81c	$e6e6e6	$0072ce	$ffffff	$0c2340	$0c2340	$ffb81c	$0c2340	$ffb81c	$0b203a	$0b203a	$ffffff	$ffb81c	$003087	$ffb81c	$003087	$ffb81c	$002b7a	$002b7a	0	17	0	$3289f7
7	Raiders	L.V	$87909a	$010101	$010101	$a2aaad	$a2aaad	$010101	$e6e6e6	$1a1a1a	$87909a	$010101	$ffffff	$010101	$a2aaad	$010101	$e6e6e6	$1a1a1a	$010101	$010101	$010101	$c5b53b	$ffffff	$c5b53b	$e6e6e6	$010101	$87909a	$010101	$ffffff	$a2aaad	$ffffff	$a2aaad	$e6e6e6	$e6e6e6	1	5	0	$000000
8	Ravens	BAL	$010101	$24125f	$24125f	$010101	$ffffff	$24125f	$e6e6e6	$010101	$010101	$24125f	$ffffff	$24125f	$010101	$010101	$010101	$010101	$010101	$24125f	$010101	$24125f	$24125f	$ffffff	$1a1a1a	$1a1a1a	$010101	$24125f	$24125f	$24125f	$24125f	$ffffff	$1a1a1a	$1a1a1a	0	45	19	$361d7d
9	Bengals	CIN	$dc4405	$010101	$010101	$dc4405	$ffffff	$dc4405	$010101	$010101	$dc4405	$010101	$ffffff	$010101	$010101	$dc4405	$e6e6e6	$e6e6e6	$dbe9f4	$010101	$ffffff	$010101	$ffffff	$010101	$e6e6e6	$e6e6e6	$dc4405	$010101	$dc4405	$010101	$010101	$dc4405	$c32b00	$c32b00	0	42	14	$e0571e
10	Browns	CLE	$eb3300	$eb3300	$321c00	$ffffff	$eb3300	$321c00	$e6e6e6	$d42e00	$eb3300	$eb3300	$ffffff	$321c00	$321c00	$eb3300	$e6e6e6	$d42e00	$eb3300	$eb3300	$ffffff	$321c00	$ffffff	$eb3300	$e6e6e6	$321c00	$eb3300	$eb3300	$321c00	$ffffff	$ffffff	$eb3300	$e6e6e6	$321c00	0	40	61	$4f3531
11	Steelers	PIT	$010101	$ffffff	$010101	$FFB81C	$ffb81c	$010101	$e6e6e6	$1a1a1a	$010101	$ffffff	$ffffff	$ffb81c	$ffb81c	$010101	$e6e6e6	$1a1a1a	$ffb81c	$ffb81c	$ffffff	$010101	$ffffff	$ffb81c	$e6e6e6	$010101	$010101	$ffffff	$010101	$ffb81c	$010101	$ffb81c	$1a1a1a	$1a1a1a	0	38	27	$222121
12	Texans	HOU	$091f2c	$a6192e	$091f2c	$a6192e	$ffffff	$091f2c	$e6e6e6	$081c28	$091f2c	$a6192e	$ffffff	$091f2c	$091f2c	$FFFFFF	$e6e6e6	$081c28	$9c0002	$091f2c	$a6192e	$ffffff	$ffffff	$091f2c	$a6192e	$a6192e	$091f2c	$a6192e	$091f2c	$a6192e	$091f2c	$a6192e	$081c28	$081c28	1	51	0	$17205b
13	Colts	IND	$ffffff	$003a70	$003a70	$ffffff	$ffffff	$003a70	$e6e6e6	$003465	$ffffff	$003a70	$ffffff	$003a70	$ffffff	$003a70	$e6e6e6	$003465	$ffffff	$003087	$003087	$ffffff	$b2b4b2	$003087	$e6e6e6	$002b7a	$ffffff	$003a70	$003a70	$ffffff	$003a70	$ffffff	$003465	$003465	1	42	21	$202e82
14	Jaguars	JAC	$010101	$8e7831	$006271	$010101	$010101	$010101	$006271	$006271	$010101	$8e7831	$ffffff	$010101	$010101	$010101	$1a1a1a	$1a1a1a	$010101	$8e7831	$010101	$006271	$010101	$010101	$1a1a1a	$1a1a1a	$010101	$8e7831	$006271	$010101	$006271	$006271	$005866	$005866	0	50	0	$292929
15	Tennessee	TEN	$ffffff	$ff8200	$ff8200	$ffffff	$ffffff	$ff8200	$ffffff	$ff8200	$ffffff	$ff8200	$ffffff	$ff8200	$ffffff	$ff8200	$ffffff	$ff8200	$000000	$ff8200	$000000	$ff8200	$000000	$ff8200	$000000	$ff8200	$0c2340	$418fde	$418fde	$b2b4b2	$0c2340	$b2b4b2	$263d5a	$263d5a	0	45	2	$ff8200
16	Cowboys	DAL	$87909a	$0c2340	$ffffff	$003087	$aecbd1	$003087	$e6e6e6	$002b7a	$87909a	$0c2340	$0c2340	$a2aaad	$a2aaad	$0c2340	$e6e6e6	$0b203a	$f5f5f4	$0c2340	$0c2340	$ffffff	$ffffff	$0c2340	$e6e6e6	$0b203a	$f5f5f4	$0c2340	$ffffff	$0c2340	$ffffff	$0c2340	$e6e6e6	$e6e6e6	1	39	1	$ffffff
17	Giants	NYG	$001e62	$ffffff	$001e62	$001e62	$FFFFFF	$a6192e	$001e62	$001e62	$001e62	$ffffff	$ffffff	$a6192e	$ffffff	$a6192e	$951729	$951729	$001e62	$ffffff	$003087	$c8102e	$fffff0	$003087	$ffffff	$003087	$001e62	$ffffff	$ffffff	$001e62	$ffffff	$001e62	$e6e6e6	$e6e6e6	0	47	25	$001cc8
18	Eagles	PHI	$004851	$ffffff	$004851	$010101	$ffffff	$004851	$e6e6e6	$010101	$004851	$ffffff	$ffffff	$010101	$010101	$004851	$1a1a1a	$1a1a1a	$28c93e	$ffffff	$28c93e	$ffffff	$e0e0e0	$28c93e	$28c93e	$28c93e	$18171a	$ffffff	$010101	$004851	$010101	$004851	$1a1a1a	$1a1a1a	0	47	15	$264933
